GEOID20,District,FriendlyId,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Sen,Dem_2020_Sen,Rep_2020_Sen,Total_2020_Gov,Dem_2020_Gov,Rep_2020_Gov,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2016_Gov,Dem_2016_Gov,Rep_2016_Gov,Total_2016_Sen,Dem_2016_Sen,Rep_2016_Sen,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_CVAP,White_2020_CVAP,Hispanic_2020_CVAP,Black_2020_CVAP,Asian_2020_CVAP,Native_2020_CVAP,Pacific_2020_CVAP,BlackAlone_2020_CVAP,AsianAlone_2020_CVAP,NativeAlone_2020_CVAP,PacificAlone_2020_CVAP,OtherAlone_2020_CVAP,Total_2020_ACSTot,White_2020_ACSTot,Hispanic_2020_ACSTot,Black_2020_ACSTot,Asian_2020_ACSTot,Native_2020_ACSTot,Pacific_2020_ACSTot,BlackAlone_2020_ACSTot,AsianAlone_2020_ACSTot,NativeAlone_2020_ACSTot,PacificAlone_2020_ACSTot,OtherAlone_2020_ACSTot,TwoOrMore_2020_ACSTot,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP
33003FREE01,1,33003FREE01,1035,436,575,1079,583,475,1080,333,732,1090,538,538,801,347,443,958,425,476,925,411,493,945,438,484,1165,1150,0,0,0,10,0,0,0,0,0,0,1349,1332,0,0,5,12,0,0,0,1095,1055,0,0,4,40,0,0,0,0,0,0,1304,1250,0,0,13,41,0,0,13,0,0,0,41,1489,1467,8,5,4,5,0,0,0,1256,1239,5,3,4,5,0,0,0,1503,1444,6,0,5,0,0,4,44,1689,1607,12,1,21,31,1,1503,1444,6,1,14,21,1
33003WAKE01,1,33003WAKE01,3093,993,2029,3235,1420,1729,3292,724,2539,3270,1240,1986,2055,638,1387,2789,873,1741,2711,889,1657,2745,973,1622,4419,4394,20,0,0,2,0,0,0,0,0,0,5158,5110,48,0,0,1,0,0,0,4328,4301,16,0,0,2,0,0,0,0,0,0,5049,5015,31,0,0,1,0,0,0,0,0,1,1,5078,4910,45,30,57,40,1,0,0,4055,3955,28,12,31,29,1,0,0,4298,4073,47,12,20,7,1,15,123,5201,4881,65,35,50,105,7,4298,4073,47,13,36,81,4
33003EFFI01,1,33003EFFI01,898,339,532,924,438,467,925,271,640,926,391,526,626,246,371,859,317,481,833,352,438,850,352,430,1265,1185,20,0,30,30,0,0,15,0,0,0,1630,1510,24,0,29,67,0,0,0,1280,1175,45,15,14,25,0,0,0,0,0,0,1647,1518,51,14,15,49,0,14,8,0,0,0,56,1465,1416,19,8,5,19,0,0,0,1175,1142,9,5,4,14,0,0,0,1389,1295,23,4,11,9,0,7,40,1691,1578,28,12,16,44,0,1389,1295,23,12,15,32,0
33003BART01,1,33003BART01,2081,1130,915,2147,1415,713,2142,896,1232,2170,1374,773,1704,910,775,1951,1094,730,1912,1018,835,1934,1082,809,2563,2540,19,6,3,0,0,3,3,0,0,0,2830,2804,17,3,4,0,0,0,0,2695,2619,40,4,12,3,0,0,0,0,0,0,2886,2816,37,15,12,17,0,2,11,0,0,0,18,2788,2702,25,14,14,35,1,0,0,2303,2247,16,8,7,27,1,0,0,2807,2691,33,8,14,4,0,8,49,3200,3041,38,30,25,55,3,2807,2691,33,21,20,30,1
33003TAMW01,1,33003TAMW01,1720,777,881,1766,962,752,1763,644,1094,1768,899,838,1322,619,676,1630,739,761,1573,723,757,1606,805,707,2333,2290,0,0,15,26,0,0,15,2,0,0,2941,2826,37,3,39,35,0,0,0,2358,2277,0,0,15,64,0,0,0,0,0,0,3019,2857,25,2,71,62,0,0,36,0,0,2,97,2858,2773,21,19,13,38,1,0,0,2328,2265,12,11,11,35,1,0,0,2369,2232,23,3,14,6,0,17,74,2812,2635,35,14,30,58,2,2369,2232,23,6,20,53,1
33003MOUL01,1,33003MOUL01,3475,1217,2202,3634,1700,1899,3609,855,2739,3646,1605,1997,2645,860,1764,3240,1148,1888,3175,1130,1950,3211,1181,1948,3460,3345,10,0,70,30,10,0,40,0,0,0,4099,3898,53,1,98,29,12,0,0,3500,3455,4,0,35,0,0,0,0,0,0,0,4131,4041,26,1,46,0,0,1,10,0,0,0,53,4055,3945,42,15,34,23,1,0,0,3301,3224,32,8,21,17,1,0,0,4279,4024,64,10,35,8,0,28,110,4918,4575,105,29,72,83,9,4279,4024,64,19,52,73,4
33001ALTO01,1,33001ALTO01,3762,1144,2536,3886,1597,2217,3892,757,3093,3903,1438,2420,2693,745,1932,3543,1152,2201,3478,1163,2166,3514,1192,2204,4135,4065,65,0,0,4,0,0,0,0,0,0,5303,5170,85,20,30,17,0,0,0,4330,4215,40,0,0,74,0,0,0,0,0,0,5331,5193,64,16,0,86,0,0,0,0,0,0,74,5256,5126,59,14,29,26,3,0,0,4145,4061,36,11,19,18,1,0,0,4942,4684,43,14,40,11,0,28,122,5894,5538,67,34,53,141,3,4942,4684,43,24,46,99,3
33001BELM01,1,33001BELM01,3898,1310,2468,4011,1875,2022,4014,813,3133,4052,1609,2365,2710,858,1818,3705,1272,2192,3635,1411,2045,3690,1503,2008,5725,5605,105,20,0,0,0,0,0,0,4,0,7311,6938,146,38,183,41,1,0,0,5665,5580,35,30,19,4,0,0,0,0,0,0,7304,6970,94,52,180,33,1,0,145,0,0,0,95,7338,7053,98,55,69,60,10,0,0,5736,5568,52,21,46,42,6,0,0,5858,5471,87,15,52,5,2,10,216,7314,6747,146,87,111,175,8,5858,5471,87,31,83,125,6
33001NEWH01,2,33001NEWH01,1469,575,853,1524,763,721,1526,440,1065,1534,697,810,1130,453,653,1381,544,737,1352,589,704,1362,561,741,1845,1770,4,40,10,4,0,40,10,0,15,0,2245,2094,11,58,41,41,21,0,0,2035,1940,15,60,15,4,0,0,0,0,0,0,2441,2285,15,77,28,36,0,59,28,0,0,0,54,2165,2078,20,18,35,13,2,0,0,1678,1625,14,8,19,11,2,0,0,1980,1851,17,6,10,1,0,19,76,2377,2197,33,24,45,54,0,1980,1851,17,18,29,40,0
33001LACO01,1,33001LACO01,1646,604,1006,1749,861,863,1754,421,1317,1772,773,976,1268,436,818,1436,561,784,1411,556,805,1434,598,794,2264,2186,30,12,15,23,0,12,8,1,0,0,2668,2546,40,27,15,21,0,0,0,2425,2278,121,0,5,22,0,0,0,0,0,0,2998,2794,139,35,12,20,0,2,6,1,0,0,53,2661,2525,49,44,27,24,0,0,0,2203,2119,28,20,19,19,0,0,0,2532,2335,64,25,26,5,0,3,74,2994,2696,96,59,50,78,4,2532,2335,64,31,34,53,2
33001GILM01,1,33001GILM01,2393,848,1476,2474,1151,1262,2462,622,1808,2478,1020,1423,1738,593,1116,2283,788,1333,2212,867,1241,2261,898,1241,2890,2785,60,30,0,14,0,10,0,4,0,0,3738,3548,70,48,57,15,0,0,0,2815,2720,30,60,0,4,0,0,0,0,0,0,3760,3582,35,108,31,8,0,60,21,0,0,0,62,3771,3666,22,15,41,30,1,0,0,2928,2857,18,8,26,19,1,0,0,3165,2969,20,7,12,5,0,11,141,3945,3667,45,34,44,96,2,3165,2969,20,14,28,79,0
33015FREM01,1,33015FREM01,2800,955,1756,2805,1275,1456,2827,635,2154,2839,1151,1635,2047,661,1350,2754,965,1591,2703,990,1580,2739,1060,1533,3755,3675,15,4,60,4,0,0,60,0,0,0,4677,4554,33,19,81,4,0,0,0,3645,3520,25,0,40,55,0,0,0,0,0,0,4709,4519,25,10,59,106,0,0,59,0,0,0,106,4283,4147,54,20,38,27,1,0,0,3208,3125,36,13,18,17,0,0,0,3844,3637,55,15,16,4,1,19,97,4739,4411,108,31,44,86,5,3844,3637,55,22,26,68,2
33015WNDM01,2,33015WNDM01,9488,3502,5763,9787,4738,4876,9746,2403,7241,9900,4567,5196,6673,2384,4218,8890,3507,4825,8730,2998,5447,8864,3382,5226,10540,9760,309,110,340,0,0,110,240,0,20,0,14610,13232,478,151,768,0,0,0,0,10595,9720,250,105,515,10,0,0,0,0,0,0,14694,13131,427,119,1005,11,0,119,539,0,0,0,478,13585,12756,218,88,478,42,15,0,0,9793,9272,128,50,309,25,9,0,0,11687,10453,322,63,498,10,1,54,286,15817,13876,503,179,925,145,10,11687,10453,322,103,574,95,10
33015DERR02,1,33015DERR02,4373,1706,2539,4444,2235,2103,4470,1250,3153,4497,2064,2365,2814,1133,1633,4170,1678,2277,4072,1606,2236,4164,1775,2149,6392,6006,260,59,47,15,0,49,44,0,10,0,8591,7937,428,69,188,18,19,0,0,6568,6005,417,60,69,19,0,0,0,0,0,0,8519,7653,690,68,178,23,6,40,60,5,0,0,67,8147,7713,147,93,130,45,10,0,0,5970,5700,94,48,90,27,7,0,0,6709,6117,192,64,86,10,1,44,195,8627,7765,299,170,174,132,16,6709,6117,192,111,111,103,12
33015PORT02,1,33015PORT02,3271,2268,925,3360,2625,659,3302,1928,1333,3393,2645,699,2682,1919,734,3157,2296,678,3056,2066,892,3136,2190,862,3537,3354,51,112,0,21,0,112,0,0,0,0,4204,3956,63,148,23,28,0,0,0,3551,3378,53,94,0,23,0,0,0,0,0,0,4231,3956,53,120,13,23,0,120,9,0,0,0,94,4321,4088,77,67,76,31,2,0,0,3757,3574,56,55,56,28,2,0,0,4052,3790,72,22,47,10,4,17,90,4680,4339,97,51,94,62,10,4052,3790,72,29,66,45,9
330150RYE01,1,330150RYE01,4297,2230,1986,4403,2789,1563,4427,1757,2638,4440,2781,1620,3558,1714,1816,4060,2211,1579,4010,1923,1982,4066,2086,1896,4640,4605,0,0,40,0,0,0,40,0,0,0,5466,5365,0,0,101,0,29,0,0,4535,4480,0,0,55,0,0,0,0,0,0,0,5478,5374,0,0,104,0,0,0,51,0,0,0,53,5298,5131,58,32,68,12,3,0,0,4224,4110,38,24,45,9,3,0,0,4716,4492,72,10,31,0,0,32,79,5543,5205,110,28,74,55,9,4716,4492,72,20,47,37,5
33015SNDN01,1,33015SNDN01,3806,1306,2391,3919,1749,2082,3953,967,2919,3975,1632,2273,2716,928,1732,3572,1207,2144,3462,1167,2100,3525,1334,1993,4950,4710,95,60,35,50,0,30,35,0,0,0,6389,6035,174,92,36,52,0,0,0,4900,4655,130,90,0,25,0,0,0,0,0,0,6453,6053,237,118,0,23,0,33,0,0,0,0,130,5986,5785,94,33,31,43,2,0,0,4502,4371,57,26,18,34,2,0,0,5111,4789,108,19,31,2,4,30,128,6548,6060,185,56,78,86,7,5111,4789,108,39,45,64,5
33015HMTN01,1,33015HMTN01,11032,4956,5831,11385,6518,4651,11414,3598,7674,11502,6150,5212,8403,3737,4593,10310,4953,4802,10056,4504,5233,10244,4954,4997,12900,12440,115,48,208,39,0,18,114,0,39,0,15467,14717,191,120,367,80,34,0,0,13370,12760,175,74,238,79,35,0,0,0,0,0,15938,15122,294,150,270,118,36,42,153,35,36,0,256,15461,14701,265,145,262,104,16,0,0,12762,12217,206,95,171,76,11,0,0,13944,13043,286,41,178,14,4,43,335,16214,15012,392,137,304,249,17,13944,13043,286,91,247,177,14
