GEOID20,District
33007KILK01,2
33007STAR01,2
33007RAND01,2
33007BERL01,2
33007MILA01,2
33007STRT01,2
33015WNDM01,1
33011HUDS01,1
33015LOND01,1
33015DERR01,1
33015DERR04,1
33015DERR03,1
33015AUBU01,1
33015CHSR01,1
33005SURR01,1
33007PITB01,2
33007SUCC01,2
33007CAMB01,2
33007ERRO01,2
33007DIXG01,2
33007DIXV01,2
33007CLAR01,2
33015CAND01,1
33007MILL01,2
33007DUMM01,2
33007GORH01,2
33003JACK01,2
33007SARG01,2
33007PINK01,2
33007THOM01,2
33003BART01,2
33015NCAS01,1
330150RYE01,1
33003ALBA01,1
33003TAMW01,1
33003MADI01,1
33011PELH01,1
33011HOLL01,1
33013HOOK01,1
33013ALLE01,1
33015DFLD01,1
33003EFFI01,1
33003TUFT01,1
33017SOME05,1
33001ALTO01,1
33003WOLF01,1
33001BARN01,1
33001GILM01,1
33017STFD01,1
33013PITF01,1
33017BARR01,1
33015NTHW01,1
33013EPSO01,1
33015RAYM01,1
33015NOTT01,1
33013PEMB01,1
33015DERR02,1
33013CONC03,1
33013CONC10,1
33013CONC01,1
33013CHIC01,1
33013LOUD01,1
33013DANB01,1
33015ATKI01,1
33015HMST01,1
33015SALE01,1
33007STEW01,2
33007COLE01,2
33007JEFF01,2
33007LOWB01,2
33007CRAW01,2
33007BGRT01,2
33007CUTT01,2
33007CHAN01,2
33007CARR01,2
33009LIVE01,2
33003HART01,2
33003SAND01,1
33009HAVE01,2
33009WATE01,1
33001GILF01,1
33003MOUL01,1
33001MERE01,1
33009HOLD01,1
33009LINC01,2
33009PIER01,1
33009ORFO01,1
33009WARR01,1
33009DORC01,1
33009WENT01,1
33009GROT01,1
33009BATH01,2
33009BENT01,2
33009WOOD01,1
33009EASN01,2
33009FRCA01,2
33009BETH01,2
33011FRNT01,1
33009THOR01,1
33001SANB01,1
33009ELLS01,1
33011WEAR01,1
33011NBOS01,1
33011HANC01,1
33011GRFD01,1
33011BENN01,1
33011PETE01,1
33011NIPS01,1
33011MASO01,1
33011GRNV01,1
33005MRLB01,1
33005ROXB01,1
33005SULL01,1
33019PLFD01,1
33009LEBA01,1
33013ANDO01,1
33005HARR01,1
33005NELS01,1
33005DUBL01,1
33005RIND01,1
33011SHAR01,1
33005JAFF01,1
33013HOPK01,1
33013WEBS01,1
33005KEEN02,1
33005RICH01,1
33005FITZ01,1
33011GOFF01,1
33011DRNG01,1
33011LYND01,1
33011WILT01,1
33011MONT01,1
33011BRKL01,1
33013DUNB01,1
33005KEEN03,1
33005SWAN01,1
33005KEEN05,1
33005KEEN04,1
33001TILT01,1
33005WINC01,1
33019CORN01,1
33011HILS01,1
33011AMHE01,1
33019CLAR03,1
33019CLAR02,1
33019CLAR01,1
33011MANC10,1
33011BEDF01,1
33011ANTR01,1
33019CHAR01,1
33019UNIT01,1
33011WNDS01,1
33005STOD01,1
33019GRAN01,1
33019SPRI01,1
33019LANG01,1
33005WALP01,1
33005ALST01,1
330130BOW01,1
33011MANC11,1
33011MANC12,1
33005WEST01,1
33019NEWP01,1
33011MANC03,1
33019WASH01,1
33019LEMP01,1
33019GOSH01,1
33005CHES01,1
33005MRLW01,1
33019ACWO01,1
33005GILS01,1
33011MANC01,1
33005HINS01,1
33011MANC06,1
33011MANC08,1
33011MANC04,1
33011MANC05,1
33011MANC02,1
33011MERR01,1
33011MANC09,1
33011MANC07,1
33011TEMP01,1
33011MILF01,1
33005TROY01,1
33005KEEN01,1
33011NASH06,1
33011NASH04,1
33011NASH09,1
33011NASH05,1
33011NASH02,1
33011NASH01,1
33011NASH03,1
33011NASH08,1
33011NASH07,1
33011LITC01,1
33019CROY01,1
33019SUNA01,1
33009PLYM01,1
33009RUMN01,1
33009CAMP01,1
33013HENN01,1
33001NEWH01,1
33013FRAN01,1
33013HILL01,1
33009BRIS01,1
33009HEBR01,1
33009BRID01,1
33013CONC02,1
33013CONC05,1
