GEOID20,District
34033020001,3
34033001501,3
34033042009,3
34033000703,3
34033042001,3
34033007001,5
34033030001,3
34033004204,3
34033004206,3
34033004208,3
34033042007,3
34033005002,3
34033070001,3
34033004205,3
34033060E01,3
3403360W001,3
3403360W002,3
34033060E02,3
34033004203,3
34033004202,3
34011ZZZZZZ,1
34011025003,3
34033020002,3
34011060001,3
34011030001,3
34033000702,3
34029025417,6
34029025422,6
34029025415,6
34029060010,6
34029060009,6
34029055014,6
34029055004,6
34029055003,6
34029055001,8
34029055011,8
34029090009,6
34029090040,6
34037120001,12
34005195001,6
34005150012,6
34005150011,6
34005150001,6
34005150014,6
34005150009,6
34005150013,6
34005135002,6
34005135003,8
34005170003,6
34005170006,6
34005170004,5
34005180004,6
34005180001,6
34005170005,6
34021035007,7
34021035004,8
34021030008,7
34021030005,7
34021050004,8
34005180005,5
34005180002,5
34005180003,5
34005170002,5
34005090007,5
34005950009,5
34005090006,5
34005090008,5
34005090003,5
34005105014,5
34005105012,5
34005110001,5
34005110002,5
34029025116,6
34029060013,6
34029060014,6
34029025139,6
34029025102,6
34005110003,5
34005110004,5
34029025104,6
34029060012,6
34029060004,6
34029060006,6
34029060005,6
34029060018,6
34029025332,6
34005105010,5
34005105004,5
34005105013,5
34005025301,5
34005025101,5
34005025302,5
34005105007,5
34005105011,5
34005105003,5
34029060002,6
34005065024,5
34005065008,5
34005065030,5
34005065028,5
34005065019,5
34005065017,5
34005065027,5
34005065029,5
34005065032,5
34005065018,5
34005065015,5
34005065011,5
34005125026,5
34005065020,5
34005065031,5
34005065010,5
34007170006,5
34005065026,5
34005065016,5
34007043034,5
34007170013,5
34007170014,5
34005065002,5
34007043033,5
34005065004,5
34005065014,5
34005065001,5
34005065003,5
34007170015,5
34007170008,5
34007043036,5
34007043046,5
34007170003,5
34007170007,5
34007043047,5
34041070001,9
34041055002,11
34041055001,11
34007170019,5
34007170017,5
34025090004,8
34025140003,8
34025047005,8
34025090009,8
34029060003,6
34007170005,5
34007170002,5
34007170012,5
34007043029,5
34007043030,5
34007170001,5
34007043005,5
34007170018,5
34007043035,5
34007043002,5
34007043014,5
34007170004,5
34007155001,5
34007105002,5
34007105001,5
34007015005,5
34007015002,5
34007165001,5
34007085004,5
34007155003,5
34007115001,5
34007115002,5
34007155002,5
34007135018,5
34007135014,5
34007135003,5
34007135009,5
34007115003,5
34007075009,5
34007115004,5
34007150005,5
34007015004,5
34007015003,5
34007015001,5
34007090003,5
34007090002,5
34007020001,5
34007020007,5
34007075021,5
34007130001,5
34007055001,5
34007150003,5
34007150001,5
34007150004,5
34007150002,5
34007020002,5
34007125003,5
34007150006,5
34015010004,5
34007020004,5
34007020003,5
34007040404,5
34007040405,5
34007040402,5
34015010019,5
34015105001,5
34007035001,5
34015010020,5
34015010017,5
34015100003,5
34015010007,5
34015105003,5
34015010015,5
34015100002,5
34015105002,5
34015110103,5
34015110102,5
34029060016,6
34015110101,5
34015100010,5
34015100009,5
34029025320,6
34029025206,6
34015060002,5
34015100015,5
34015100008,5
34015100005,5
34015060003,5
34015100007,5
34015060004,5
34015060001,5
34015100001,5
34015100016,5
34015070005,5
34029005001,6
34029102002,6
34029025000,6
34029ZZZZZZ,6
34029060008,6
34029060015,6
34029085003,6
34029060007,6
34029060017,6
34029060011,6
34029102001,6
34029102005,6
34029102006,6
34029102004,6
34029150018,6
34029003002,6
34029003004,6
34029003006,6
34029003007,6
34029003012,6
34029003008,6
34029003005,6
34029160002,4
34029160001,4
34029080005,4
34029080001,4
34029080011,4
34029150005,6
34001010501,4
34001010502,4
34001010404,4
34001010302,4
34001010401,4
34005185001,4
34005005001,4
34001042103,4
34005165004,6
34005165002,5
34001045001,3
34001040004,4
34005165001,5
34005165003,5
34007175006,5
34007175004,5
34001065003,3
34005105016,5
34001050001,3
34001065002,3
34001065001,3
34007175003,5
34007175007,5
34007180202,5
34007180105,3
34007180104,5
34007045001,5
34007180106,5
34007170016,5
34007170011,5
34007170009,5
34007030003,5
34007030001,5
34007170010,5
34007025002,5
34007025004,5
34007110009,5
34007065002,5
34007065001,5
34009ZZZZZZ,1
34009015001,1
34015035002,5
34015035001,5
34015120002,5
34015080002,5
34007110004,5
34007050003,5
34007110007,5
34007110003,5
34007160001,5
34007160003,5
34007140001,5
34007095001,5
34007160006,5
34007160004,5
34007155004,5
34007110008,5
34007110001,5
34007160002,5
34007075026,5
34007075011,5
34007075015,5
34007075012,5
34007075025,5
34007075016,5
34007075024,5
34007075003,5
34015035005,5
34015070002,5
34015035004,5
34015070001,5
34007075001,5
34015070003,5
34015070004,5
34007075022,5
34011040001,3
34007075002,5
34007075006,5
34015090008,5
34007075013,5
34015010008,5
34007075004,5
34015010021,5
34033070002,3
34015025005,3
34015025007,3
34033050001,3
34015010018,5
34015010006,5
34015010002,5
34015010010,5
34015010016,5
34015010022,5
34015010009,5
34015110201,5
34015110203,5
34015110202,5
34015110302,5
34015110204,5
34015110304,5
34015110303,5
34015110301,5
34015040004,5
34015040002,5
34015050001,5
34015050010,5
34015075007,5
34015075004,5
34015050006,5
34015100006,5
34015100013,5
34015100017,5
34015100011,5
34015100014,5
34015050012,5
34015050008,5
34015015001,5
34029080002,4
34001010603,4
34001010601,4
34001010602,4
34001110005,4
34001010402,4
34001010403,4
34001010301,4
34001095201,4
34001095104,4
34001095103,4
34001055015,4
34001005101,4
34001055014,4
34001055001,4
34001055009,4
34001100201,4
34001055008,4
34001055007,4
34001100101,4
34001055002,4
34001085201,4
34001085301,4
34001010303,4
34001010203,4
34001010202,4
34001015401,4
34001015301,4
34001ZZZZZZ,4
34001010104,4
34001015101,4
34029080008,4
34029080014,4
34029085002,4
34009050002,1
34009050001,1
34029080007,4
34029080013,4
34029040001,4
34001025003,3
34001105204,4
34001105102,4
34001105103,4
34001040005,4
34001040001,4
34011020002,1
34011020001,1
34011010001,1
